Name,Average.coverage,Reference.length
contig-120_0_36,0.938,320
contig-120_0_64,1.134,529
contig-120_0_69,0.424,354
contig-120_0_70,1.085,259
contig-120_0_179,2.616,216
contig-120_0_193,2.510,478
contig-120_0_245,0.893,159
contig-120_0_274,1.210,248
contig-120_0_314,1.929,311
contig-120_1_13,0.828,354
contig-120_1_37,0.378,1588
contig-120_1_70,1.036,414
contig-120_1_74,0.104,1380
contig-120_1_77,0.993,302
contig-120_1_82,0.506,593
contig-120_1_99,1.162,904
contig-120_1_113,0.515,583
contig-120_1_168,0.221,1358
contig-120_1_212,0.134,2232
contig-120_1_216,1.215,247
contig-120_1_217,0.052,2627
contig-120_1_218,2.083,288
contig-120_1_225,0.647,464
contig-120_1_230,1.531,686
contig-120_1_233,1.357,221
contig-120_1_234,0.845,355
contig-120_1_237,2.253,328
contig-120_1_244,3.425,214
contig-120_1_245,1.190,252
contig-120_1_247,1.382,217
contig-120_1_264,0.431,1337
contig-120_1_266,1.000,132
contig-120_1_270,1.148,1829
contig-120_1_272,1.335,337
contig-120_2_8,0.815,168
contig-120_2_31,0.404,743
contig-120_2_71,0.735,204
contig-120_2_72,0.980,153
contig-120_2_74,1.163,258
contig-120_2_81,0.262,553
contig-120_2_94,0.364,1237
contig-120_2_96,0.838,358
contig-120_2_104,0.321,1869
contig-120_2_110,0.563,231
contig-120_2_120,0.303,990
contig-120_2_133,0.570,526
contig-120_2_173,0.321,935
contig-120_2_174,0.071,2123
contig-120_2_212,0.510,588
contig-120_3_4,0.379,792
contig-120_3_16,0.938,160
contig-120_3_46,0.993,151
contig-120_3_47,0.974,308
contig-120_3_48,1.322,227
contig-120_3_58,0.132,1138
contig-120_3_60,0.198,757
contig-120_3_72,1.310,229
contig-120_3_74,0.855,351
contig-120_3_75,0.708,636
contig-120_3_82,0.334,897
contig-120_3_91,0.417,360
contig-120_3_104,1.103,262
contig-120_3_113,0.830,165
contig-120_3_117,0.364,824
contig-120_3_118,0.440,682
contig-120_3_123,1.000,142
contig-120_3_153,0.943,318
contig-120_3_158,0.167,900
contig-120_3_161,0.180,1667
contig-120_3_168,0.781,1152
contig-120_3_177,1.500,396
contig-120_3_178,0.313,956
contig-120_3_187,0.992,133
contig-120_3_189,0.257,1169
contig-120_3_192,0.591,1016
contig-120_3_209,3.165,515
contig-120_3_211,1.200,250
contig-120_4_3,0.111,2707
contig-120_4_9,1.408,426
contig-120_4_10,0.121,1239
contig-120_4_12,0.362,828
contig-120_4_13,1.224,245
contig-120_4_15,0.798,376
contig-120_4_23,0.276,2172
contig-120_4_28,0.069,4364
contig-120_4_29,0.121,2470
contig-120_4_33,0.154,1950
contig-120_4_38,1.152,521
contig-120_4_42,0.547,274
contig-120_4_45,1.145,262
contig-120_4_46,1.422,199
contig-120_4_50,0.549,546
contig-120_4_60,2.542,177
contig-120_4_71,0.802,187
contig-120_4_73,0.977,307
contig-120_4_74,0.526,285
contig-120_4_75,0.874,340
contig-120_4_80,0.505,594
contig-120_4_92,2.061,363
contig-120_4_95,0.473,634
contig-120_4_97,0.446,336
contig-120_4_99,0.583,515
contig-120_4_100,0.670,224
contig-120_4_105,0.256,585
contig-120_4_114,0.698,215
contig-120_4_116,0.658,456
contig-120_4_121,0.318,453
contig-120_4_138,0.652,230
contig-120_4_142,0.992,129
contig-120_4_143,1.079,278
contig-120_4_145,1.606,467
contig-120_4_146,0.155,918
contig-120_4_147,1.000,300
contig-120_4_151,1.415,212
contig-120_4_153,1.357,442
contig-120_4_158,1.124,267
contig-120_4_159,1.362,661
contig-120_4_160,0.301,998
contig-120_4_166,0.750,200
contig-120_4_185,1.002,449
contig-120_4_214,0.142,1055
contig-120_4_215,0.686,1523
contig-120_4_217,0.775,387
contig-120_4_218,1.333,2025
contig-120_5_8,0.335,1343
contig-120_5_15,1.000,136
contig-120_5_30,2.479,236
contig-120_5_38,0.862,174
contig-120_5_72,0.817,367
contig-120_5_73,0.312,962
contig-120_5_76,0.135,1111
contig-120_5_81,1.145,255
contig-120_5_121,1.685,178
contig-120_5_123,0.699,429
contig-120_5_139,1.010,289
contig-120_5_141,0.843,178
contig-120_5_154,0.626,479
contig-120_6_9,2.186,549
contig-120_6_13,0.392,378
contig-120_6_75,4.618,285
contig-120_6_76,1.164,902
contig-120_6_92,0.782,528
contig-120_6_98,1.449,207
contig-120_6_103,1.031,291
contig-120_6_104,0.998,601
contig-120_6_122,1.755,335
contig-120_6_134,0.862,348
contig-120_6_145,0.364,824
contig-120_7_3,0.882,680
contig-120_7_4,0.847,354
contig-120_7_8,1.875,720
contig-120_7_9,0.561,535
contig-120_7_13,2.729,709
contig-120_7_15,0.289,471
contig-120_7_16,0.179,840
contig-120_7_23,1.220,246
contig-120_7_24,0.721,208
contig-120_7_25,0.901,333
contig-120_7_28,0.929,323
contig-120_7_32,0.993,139
contig-120_7_34,1.000,131
contig-120_7_41,1.307,459
contig-120_7_44,0.831,361
contig-120_7_46,0.578,516
contig-120_7_49,0.444,676
contig-120_7_50,0.626,1179
contig-120_7_57,0.484,1858
contig-120_7_58,1.877,1034
contig-120_7_63,0.229,1251
contig-120_7_66,0.952,315
contig-120_7_67,3.085,625
