Name,Average.coverage,Reference.length
contig-120_0_2,0.548,784
contig-120_0_6,0.601,499
contig-120_0_8,0.485,618
contig-120_0_9,3.231,360
contig-120_0_10,0.424,708
contig-120_0_11,1.362,1203
contig-120_0_13,0.766,1175
contig-120_0_14,0.630,238
contig-120_0_15,0.469,639
contig-120_0_16,0.838,358
contig-120_0_17,0.536,560
contig-120_0_18,1.088,1516
contig-120_0_20,3.878,1193
contig-120_0_21,6.448,232
contig-120_0_22,0.418,718
contig-120_0_23,1.439,938
contig-120_0_24,1.819,982
contig-120_0_25,9.466,178
contig-120_0_26,4.718,504
contig-120_0_27,0.904,332
contig-120_0_29,0.844,711
contig-120_0_31,1.289,349
contig-120_0_34,1.141,263
contig-120_0_35,7.753,713
contig-120_0_36,1.046,3873
contig-120_0_37,0.804,504
contig-120_0_38,5.714,231
contig-120_0_39,1.382,217
contig-120_0_40,5.026,505
contig-120_0_41,18.647,434
contig-120_0_42,7.932,441
contig-120_0_44,1.823,650
contig-120_0_45,1.011,445
contig-120_0_46,0.316,474
contig-120_0_48,1.122,1337
contig-120_0_49,0.805,2604
contig-120_0_52,1.117,1343
contig-120_0_53,0.628,478
contig-120_0_54,0.565,797
contig-120_0_59,1.511,397
contig-120_0_61,1.044,1149
contig-120_0_62,0.314,1431
contig-120_0_70,0.355,792
contig-120_0_72,2.760,267
contig-120_0_73,0.266,1126
contig-120_0_74,1.549,1162
contig-120_0_75,5.556,324
contig-120_0_76,2.462,731
contig-120_0_77,1.025,732
contig-120_0_83,0.804,368
contig-120_0_89,0.654,1377
contig-120_0_90,1.181,508
contig-120_0_91,1.179,1884
contig-120_0_92,0.476,630
contig-120_0_93,2.009,448
contig-120_0_94,0.945,476
contig-120_0_95,1.262,2711
contig-120_0_96,0.205,648
contig-120_0_97,2.790,699
contig-120_0_98,0.494,603
contig-120_0_105,0.457,657
contig-120_0_114,0.906,331
contig-120_0_115,0.370,810
contig-120_0_119,1.493,603
contig-120_0_120,1.346,1101
contig-120_0_121,2.338,770
contig-120_0_122,0.366,820
contig-120_0_127,0.648,463
contig-120_0_128,0.349,860
contig-120_0_133,0.436,1020
contig-120_0_134,0.307,411
contig-120_0_136,0.249,1206
contig-120_0_142,0.326,919
contig-120_0_143,0.467,1286
contig-120_0_145,0.397,755
contig-120_0_146,0.346,867
contig-120_0_151,2.517,236
contig-120_0_153,3.823,588
contig-120_0_154,7.729,1937
contig-120_0_155,2.246,1002
contig-120_0_157,1.921,937
contig-120_0_158,0.295,2036
contig-120_0_159,0.565,531
contig-120_0_161,0.060,2503
contig-120_0_167,2.586,805
contig-120_0_169,0.656,686
contig-120_0_171,1.424,632
contig-120_0_172,2.359,1208
contig-120_0_173,1.184,380
contig-120_0_174,0.735,204
contig-120_0_176,0.932,1889
contig-120_0_177,1.684,342
contig-120_0_179,0.441,681
contig-120_0_180,3.480,504
contig-120_0_181,1.667,540
contig-120_0_182,0.113,1196
contig-120_0_184,0.266,1129
contig-120_0_185,0.954,629
contig-120_1_11,0.243,2469
contig-120_1_13,0.334,2698
contig-120_1_14,0.107,1299
contig-120_1_15,0.649,462
contig-120_1_16,0.333,1789
contig-120_1_18,6.570,456
contig-120_1_19,0.588,1449
contig-120_1_20,0.468,633
contig-120_1_21,0.319,1879
contig-120_1_23,0.221,680
contig-120_1_24,0.313,957
contig-120_1_25,1.154,520
contig-120_1_26,1.103,544
contig-120_1_27,0.614,1465
contig-120_1_28,3.673,245
contig-120_1_30,1.894,1260
contig-120_1_31,2.455,231
contig-120_1_32,0.938,320
contig-120_1_33,1.304,460
contig-120_1_34,0.752,798
contig-120_1_35,1.250,480
contig-120_1_38,1.896,864
contig-120_1_39,1.132,795
contig-120_1_41,1.083,277
contig-120_1_42,1.267,1047
contig-120_1_44,1.711,2630
contig-120_1_46,0.502,598
contig-120_1_47,0.551,544
contig-120_1_48,0.993,151
contig-120_1_49,0.932,322
contig-120_1_50,1.448,518
contig-120_1_52,1.189,757
contig-120_1_54,1.991,1507
contig-120_1_55,0.663,1131
contig-120_1_56,1.194,754
contig-120_1_58,1.022,579
contig-120_1_59,1.253,580
contig-120_1_60,1.326,1018
contig-120_1_62,0.177,2403
contig-120_1_63,1.041,1153
contig-120_1_65,11.105,237
contig-120_1_66,0.404,681
contig-120_1_67,1.172,512
contig-120_1_69,0.789,1521
contig-120_1_71,1.926,1168
contig-120_1_72,0.893,486
contig-120_1_73,2.447,2202
contig-120_1_74,2.219,270
contig-120_1_75,11.299,204
contig-120_1_77,0.735,408
contig-120_1_78,0.698,430
contig-120_1_79,0.370,1623
contig-120_1_80,0.442,2035
contig-120_1_81,0.126,2387
contig-120_1_82,1.737,518
contig-120_1_83,1.830,487
contig-120_1_84,1.053,285
contig-120_1_85,1.221,244
contig-120_1_86,2.296,588
contig-120_1_87,2.000,141
contig-120_1_90,0.715,624
contig-120_1_92,0.358,1219
contig-120_1_93,6.505,2102
contig-120_1_94,0.238,1202
contig-120_1_95,0.551,272
contig-120_1_97,1.049,286
contig-120_1_98,0.540,804
contig-120_1_100,1.000,139
contig-120_1_102,1.352,216
contig-120_1_103,0.507,592
contig-120_1_107,0.498,904
contig-120_1_109,0.498,602
contig-120_1_110,0.256,1174
contig-120_1_113,0.739,406
contig-120_1_120,0.179,836
contig-120_1_122,0.842,882
contig-120_1_126,0.932,161
contig-120_1_135,0.222,1350
contig-120_1_138,0.811,370
contig-120_1_141,0.265,1131
contig-120_2_2,0.706,616
contig-120_2_6,0.255,589
contig-120_2_10,0.701,214
contig-120_2_11,0.364,412
contig-120_2_12,1.068,562
contig-120_2_14,0.758,396
contig-120_2_16,1.003,295
contig-120_2_17,1.305,328
contig-120_2_19,4.305,2537
contig-120_2_20,0.951,143
contig-120_2_25,0.727,825
contig-120_2_31,0.404,1485
contig-120_2_36,0.272,1104
contig-120_2_39,0.297,1009
contig-120_2_40,0.430,698
contig-120_2_44,2.098,286
contig-120_2_45,0.289,494
contig-120_2_49,0.255,1176
contig-120_2_50,1.052,267
contig-120_2_51,0.717,628
contig-120_2_53,0.632,2595
contig-120_2_54,2.239,871
contig-120_2_55,7.137,183
contig-120_2_56,0.357,2099
contig-120_2_57,0.735,408
contig-120_2_59,4.201,279
contig-120_2_60,0.290,2067
contig-120_2_61,0.303,984
contig-120_2_62,0.243,617
contig-120_2_63,0.590,1017
contig-120_2_64,2.468,725
contig-120_2_65,1.630,368
contig-120_2_66,0.922,488
contig-120_2_68,1.916,1953
contig-120_2_69,2.140,1682
contig-120_2_71,0.443,976
contig-120_2_72,0.345,861
contig-120_2_73,1.418,4113
contig-120_2_74,1.322,1464
contig-120_2_75,0.610,482
